,open,high,low,close,complete,volume,time
0,152.14,152.742,151.873,152.601,True,38646.0,1514844000.000000000
1,152.581,152.828,151.76,152.068,True,35202.0,1514930400.000000000
2,152.062,152.98,152.004,152.797,True,34385.0,1515016800.000000000
3,152.797,153.644,152.758,153.391,True,35378.0,1515103200.000000000
4,153.455,153.675,152.876,153.441,True,30774.0,1515362400.000000000
5,153.452,153.576,151.947,152.531,True,39070.0,1515448800.000000000
6,152.526,152.606,150.366,150.513,True,57733.0,1515535200.000000000
7,150.525,151.008,150.2,150.633,True,50383.0,1515621600.000000000
8,150.567,152.676,150.556,152.473,True,64664.0,1515708000.000000000
9,152.549,152.809,151.936,152.468,True,51556.0,1515967200.000000000
10,152.515,153.101,152.054,152.336,True,54600.0,1516053600.000000000
11,152.37,154.29,152.152,153.912,True,67777.0,1516140000.000000000
12,153.907,154.584,153.628,154.378,True,60190.0,1516226400.000000000
13,154.319,154.448,153.118,153.521,True,58908.0,1516312800.000000000
14,153.624,155.256,153.506,155.181,True,47523.0,1516572000.000000000
15,155.123,155.406,153.736,154.419,True,63303.0,1516658400.000000000
16,154.499,155.724,154.132,155.538,True,81994.0,1516744800.000000000
17,155.532,156.091,154.434,154.707,True,117254.0,1516831200.000000000
18,154.701,155.858,153.434,153.829,True,97301.0,1516917600.000000000
19,153.695,154.026,152.827,153.353,True,67598.0,1517176800.000000000
20,153.348,154.094,151.976,153.931,True,77914.0,1517263200.000000000
21,153.907,155.348,153.57,154.956,True,88435.0,1517349600.000000000
22,154.966,156.447,154.937,156.046,True,73139.0,1517436000.000000000
23,156.068,156.612,155.422,155.537,True,80755.0,1517522400.000000000
24,155.41,155.548,152.292,152.346,True,95722.0,1517781600.000000000
25,152.328,152.916,151.212,152.852,True,147011.0,1517868000.000000000
26,152.798,153.136,151.332,151.776,True,89586.0,1517954400.000000000
27,151.751,154.048,150.834,151.294,True,135723.0,1518040800.000000000
28,151.286,152.757,148.926,150.467,True,146257.0,1518127200.000000000
29,150.401,150.828,149.67,150.344,True,67824.0,1518386400.000000000
30,150.333,150.626,148.982,149.792,True,71830.0,1518472800.000000000
31,149.739,150.034,147.972,149.806,True,95274.0,1518559200.000000000
32,149.74,150.19,148.938,149.618,True,85878.0,1518645600.000000000
33,149.612,149.966,148.784,149.133,True,73165.0,1518732000.000000000
34,149.06,149.476,148.883,149.228,True,37905.0,1518991200.000000000
35,149.248,150.384,149.084,150.224,True,55048.0,1519077600.000000000
36,150.224,150.932,149.425,149.996,True,72122.0,1519164000.000000000
37,149.992,150.002,148.546,148.986,True,63790.0,1519250400.000000000
38,148.98,149.521,148.654,149.302,True,52913.0,1519336800.000000000
39,149.966,150.014,149.0,149.354,True,54880.0,1519596000.000000000
40,149.362,149.82,148.844,149.282,True,62974.0,1519682400.000000000
41,149.301,149.52,146.728,146.784,True,65778.0,1519768800.000000000
42,146.775,147.49,146.015,146.358,True,87857.0,1519855200.000000000
43,146.306,146.448,144.994,145.95,True,78568.0,1519941600.000000000
44,145.554,147.126,145.084,147.077,True,67354.0,1520200800.000000000
45,147.077,148.014,146.558,147.377,True,63079.0,1520287200.000000000
46,147.433,147.572,146.236,147.456,True,72312.0,1520373600.000000000
47,147.408,147.667,146.379,146.703,True,60749.0,1520460000.000000000
48,146.664,148.548,146.632,147.937,True,61604.0,1520546400.000000000
49,147.731,148.215,147.422,147.981,True,42564.0,1520802000.000000000
50,147.987,149.384,147.772,148.81,True,55220.0,1520888400.000000000
51,148.81,149.168,147.756,148.45,True,54333.0,1520974800.000000000
52,148.422,148.512,147.45,148.194,True,56861.0,1521061200.000000000
53,148.237,148.266,147.252,147.798,True,48099.0,1521147600.000000000
54,147.651,149.688,147.054,148.794,True,66827.0,1521406800.000000000
55,148.794,149.799,148.583,149.133,True,59236.0,1521493200.000000000
56,149.122,150.312,148.958,149.967,True,65300.0,1521579600.000000000
57,149.958,150.204,148.28,148.4,True,86277.0,1521666000.000000000
58,148.487,148.977,147.678,148.02,True,90140.0,1521752400.000000000
59,147.973,150.116,147.914,149.982,True,57619.0,1522011600.000000000
60,149.996,150.499,148.94,149.129,True,62470.0,1522098000.000000000
61,149.059,150.598,149.058,150.366,True,85672.0,1522184400.000000000
62,150.384,150.462,149.029,149.204,True,57874.0,1522270800.000000000
63,149.193,149.467,148.848,148.904,True,29244.0,1522357200.000000000
64,149.039,149.675,148.392,148.728,True,40915.0,1522616400.000000000
65,148.716,149.965,148.498,149.877,True,55976.0,1522702800.000000000
66,149.863,150.434,148.806,150.342,True,61046.0,1522789200.000000000
67,150.342,150.692,149.967,150.374,True,49820.0,1522875600.000000000
68,150.392,151.228,149.894,150.668,True,70491.0,1522962000.000000000
69,150.726,151.496,150.5,150.896,True,45555.0,1523221200.000000000
70,150.891,152.141,150.714,151.966,True,58054.0,1523307600.000000000
71,152.001,152.25,151.284,151.412,True,52963.0,1523394000.000000000
72,151.394,152.881,151.176,152.711,True,51789.0,1523480400.000000000
73,152.724,153.857,152.588,152.838,True,47370.0,1523566800.000000000
74,153.178,153.764,152.659,153.581,True,42643.0,1523826000.000000000
75,153.588,153.758,152.788,152.915,True,41614.0,1523912400.000000000
76,152.879,153.634,152.068,152.302,True,43067.0,1523998800.000000000
77,152.296,152.96,151.094,151.223,True,53807.0,1524085200.000000000
78,151.263,151.706,150.685,150.741,True,51221.0,1524171600.000000000
79,150.934,151.646,150.756,151.534,True,41891.0,1524430800.000000000
80,151.534,152.603,151.41,152.106,True,46078.0,1524517200.000000000
81,152.08,152.572,152.08,152.444,True,43756.0,1524603600.000000000
82,152.43,152.734,151.979,152.104,True,52599.0,1524690000.000000000
83,152.094,152.281,150.257,150.308,True,56375.0,1524776400.000000000
84,150.238,150.848,149.842,150.506,True,41176.0,1525035600.000000000
85,150.493,150.636,149.154,149.588,True,48859.0,1525122000.000000000
86,149.602,150.127,149.013,149.089,True,59268.0,1525208400.000000000
87,149.156,149.468,147.604,148.233,True,59312.0,1525294800.000000000
88,148.249,148.292,147.068,147.595,True,48181.0,1525381200.000000000
89,147.697,148.266,147.346,147.889,True,35173.0,1525640400.000000000
90,147.825,148.084,147.056,147.845,True,52505.0,1525726800.000000000
91,147.767,149.198,147.726,148.664,True,49496.0,1525813200.000000000
92,148.657,149.312,147.484,147.882,True,73804.0,1525899600.000000000
93,147.902,148.492,147.586,148.11,True,44236.0,1525986000.000000000
94,148.12,149.072,148.008,148.636,True,33197.0,1526245200.000000000
95,148.663,149.202,148.386,149.052,True,49717.0,1526331600.000000000
96,149.016,149.082,148.188,148.912,True,52248.0,1526418000.000000000
97,148.848,149.838,148.798,149.721,True,50995.0,1526504400.000000000
98,149.721,150.011,149.092,149.192,True,39646.0,1526590800.000000000
99,149.325,149.656,148.82,149.104,True,40982.0,1526850000.000000000
100,149.109,149.73,148.773,148.956,True,43781.0,1526936400.000000000
101,148.969,149.012,145.952,146.948,True,72434.0,1527022800.000000000
102,146.867,147.274,145.693,146.189,True,71123.0,1527109200.000000000
103,146.194,146.726,145.284,145.46,True,64567.0,1527195600.000000000
